position,mean_log_prob,median_log_prob,std_log_prob,count,min_log_prob,max_log_prob
0,-6.897514696915945,-7.390097141265869,3.2199388982960233,240,-12.724096298217773,-1.7037241458892822
1,-4.566895345583786,-4.220149993896484,2.961182365821813,240,-11.565315246582031,-0.00036566724884323776
2,-4.500119145854842,-3.8420203924179077,3.3359013336475765,240,-19.39568328857422,-0.012650598771870136
3,-4.2282781681661925,-3.5956854820251465,3.0418600701430587,240,-12.741808891296387,-0.0004885195521637797
4,-4.125150032445527,-3.5076487064361572,2.986030281006672,240,-12.343338012695312,-0.0005435658385977149
5,-3.646407894104535,-3.396853446960449,3.0443917463731163,240,-15.00181770324707,-0.00015984688070602715
6,-3.378869329458394,-2.496909022331238,2.812174246608684,240,-13.013628959655762,-0.0004924515378661454
7,-3.8189661067318714,-3.056919574737549,3.0837296850275053,240,-16.971267700195312,-0.0012530578533187509
8,-4.173248939299689,-3.404101610183716,3.5844547199148655,240,-19.215063095092773,-0.0001726001501083374
9,-3.6236834290631426,-3.1661250591278076,2.929240751315554,240,-12.406721115112305,-0.001912789884954691
10,-3.3664182177153026,-2.8209928274154663,2.6653408604824587,240,-12.930912971496582,-0.0015844660811126232
11,-3.497822497673163,-3.15162193775177,2.8925033592269944,240,-16.523900985717773,-0.00012373158824630082
12,-3.3250195905417663,-2.466915249824524,2.909987600296415,240,-16.822420120239258,-0.00013398226292338222
13,-3.3480159983300837,-2.379681706428528,3.042400853387432,240,-16.028181076049805,-0.0010602811817079782
14,-3.1570653366984818,-2.244706392288208,3.2261309674734657,240,-18.82907485961914,-0.00023338454775512218
15,-3.408300003178253,-2.3932052850723267,3.3711974558450017,240,-19.754234313964844,-0.0005174727994017303
16,-3.162095651374087,-2.2302345037460327,2.8346712806242462,240,-12.730737686157227,-0.00032014489988796413
17,-3.139762953711397,-2.321748375892639,2.9739258206350927,240,-16.446800231933594,-0.00030214988510124385
18,-2.9735561381474933,-2.185574531555176,2.797454637751418,240,-12.178485870361328,-0.0002760506176855415
19,-3.3712415795476165,-2.5867642164230347,3.0202043474347824,240,-20.72779083251953,-0.0002008474839385599
20,-3.3932428554172174,-2.836501359939575,2.9027177126834007,240,-12.816380500793457,-0.00032145579461939633
