bin_start,bin_end,bin_mid,mean_log_prob,median_log_prob,std_log_prob,count
0,8,4.0,-4.395275089907637,-3.7115665674209595,3.2297191782572052,1920
8,16,12.0,-3.4874467515624854,-2.763354539871216,3.1036548804576496,1920
16,24,20.0,-3.2266539841908792,-2.403721570968628,2.92411458626402,1920
24,32,28.0,-3.185306423983718,-2.4466384649276733,2.914495286792877,1920
32,40,36.0,-3.221028884549823,-2.343281388282776,3.0025700879473773,1920
40,48,44.0,-3.090330441046126,-2.2269179821014404,2.862980350964724,1920
48,56,52.0,-3.011594874278479,-2.2398780584335327,2.8148360819581772,1920
56,64,60.0,-2.856011561606645,-2.0474274158477783,2.734926785751143,1920
64,72,68.0,-2.872188391284278,-2.0894159078598022,2.6595151902854366,1920
72,80,76.0,-2.9792732918443865,-2.1680290699005127,2.9275880379464287,1920
80,88,84.0,-3.0505426470746064,-2.2223035097122192,2.906321150743194,1920
88,96,92.0,-3.0329270242778583,-2.23508358001709,2.896262304079193,1920
96,104,100.0,-3.1046380602678143,-2.172466993331909,2.9809077565124737,1920
104,112,108.0,-3.047784968490146,-2.2052972316741943,2.84108147370462,1920
112,120,116.0,-2.9677242551275396,-2.2042226791381836,2.800007494131649,1920
120,128,124.0,-2.848664677688841,-2.0387524366378784,2.735575514604042,1920
128,136,132.0,-2.8283611690487476,-2.029413342475891,2.61254273921422,1920
136,144,140.0,-2.936340611819306,-2.1867716312408447,2.836763458556946,1920
144,152,148.0,-2.973025180138465,-2.111669421195984,2.920820882256775,1920
152,160,156.0,-3.061993980594879,-2.2935726642608643,2.8918869480043927,1920
160,168,164.0,-3.0684681198504884,-2.227358102798462,2.8895318981948406,1920
168,176,172.0,-3.05381265690235,-2.223150610923767,2.8951938267436548,1920
176,184,180.0,-2.951621261635561,-2.211897134780884,2.736442820997652,1920
184,192,188.0,-2.9131001251387145,-2.103659510612488,2.7726326034274775,1920
192,200,196.0,-2.8650433848202206,-2.0583361387252808,2.7119803196662877,1920
200,208,204.0,-2.9497383189355473,-2.2045907974243164,2.752696085736118,1920
208,216,212.0,-3.0306440346777475,-2.100313901901245,2.9690635058808206,1920
216,224,220.0,-3.0247114851116086,-2.192378044128418,2.8748121693761797,1920
224,232,228.0,-3.05413447159139,-2.248412609100342,2.836993935949465,1920
232,240,236.0,-3.075223622000285,-2.238433837890625,2.9137439552791844,1920
240,248,244.0,-3.031758242849844,-2.2597594261169434,2.819098385895732,1920
248,256,252.0,-2.8883167538775774,-2.104533314704895,2.719229357944923,1680
