position,mean_log_prob,median_log_prob,std_log_prob,count
0,-8.42784674167633,-9.57839822769165,3.2695850164557814,10
1,-5.476662671566009,-5.509490966796875,2.5903447266915287,10
2,-4.814441043138504,-4.76647162437439,3.3021208930906165,10
3,-4.434299397468567,-4.386922121047974,3.3899144885667636,10
4,-2.603103958070278,-2.132643461227417,2.458407263386202,10
5,-3.30921426396817,-2.8973764181137085,2.0004315433318425,10
6,-5.039794135093689,-3.2651623487472534,4.011370673204415,10
7,-4.395368814468384,-3.8246898651123047,2.821849792211443,10
8,-2.771631288097706,-2.016153573989868,2.3271162292954912,10
9,-2.873634859104641,-1.0346753001213074,3.0981585347773324,10
10,-2.7814769566059114,-1.1379187107086182,2.8030753012526843,10
11,-3.6992355793714524,-2.804296612739563,2.8951406290487496,10
12,-3.5487584114074706,-3.2186676263809204,2.0778686276163563,10
13,-4.1680561065673825,-4.0303099155426025,2.521881339493609,10
14,-2.082420787308365,-1.630074679851532,1.7322815729557919,10
15,-2.9227038056124,-1.2834753394126892,2.9422909459004467,10
16,-2.828014623373747,-3.3469825983047485,1.8029597326737103,10
17,-3.1711276860907676,-2.369466245174408,2.9309085698257866,10
18,-2.438384175300598,-1.6115976572036743,2.174117174893303,10
19,-4.209312751889229,-4.742786407470703,3.23295100390907,10
20,-4.437479913234711,-4.2073328495025635,2.1571998894796667,10
21,-4.646492762118578,-6.047116756439209,3.5657250701133094,10
22,-3.4304386792238803,-2.746444344520569,2.3603408254826537,10
23,-4.336335084587335,-4.5030916929244995,3.184116486152952,10
24,-1.9492699093185366,-1.2806087732315063,1.6754238115639788,10
25,-3.0491910932585595,-1.024266541004181,3.2563571776543125,10
26,-3.635670769959688,-2.6838051676750183,3.4258722002049398,10
27,-3.073245641589165,-2.234052538871765,2.463180236831972,10
28,-1.7688664982793854,-0.9302612245082855,1.7669934514713515,10
29,-2.124705182760954,-1.411682665348053,1.8747526056535746,10
30,-2.3641290586441754,-2.0324759483337402,2.12984254347999,10
31,-3.623936581611633,-3.304585814476013,1.9736412372105059,10
32,-2.0838247001171113,-1.3073281645774841,1.9697272593021176,10
33,-4.117712652683258,-3.971630573272705,2.4953867452427994,10
34,-4.148390817642212,-2.5471229553222656,3.1030501212135175,10
35,-2.2297722971066833,-2.0791431069374084,2.155436758731458,10
36,-2.8739857129752635,-2.3668105602264404,2.243517148716753,10
37,-2.755651515722275,-3.0918514728546143,1.3590576188510501,10
38,-4.737203168869018,-5.755789518356323,3.397185741884039,10
39,-4.012914143502712,-3.2934216260910034,2.9742739704979395,10
40,-3.9124329067533834,-3.5626380443573,3.177148664992235,10
41,-3.851608282572124,-2.739335775375366,3.257734725296731,10
42,-2.8849171780049803,-0.4923916161060333,3.289444840146578,10
43,-2.0353381912922486,-1.2063127756118774,1.8776189021747327,10
44,-3.0040686318418013,-1.634953260421753,3.1604763682785677,10
45,-3.322674202860435,-2.2470165491104126,2.7372414702050576,10
46,-3.1752999484539,-2.392865300178528,3.3857728257973387,10
47,-2.3774447379852064,-1.5271969437599182,2.421899825367422,10
48,-1.8860006926348434,-1.3852197527885437,1.6436506288501758,10
49,-5.214850956201554,-5.108128547668457,3.8047908845872125,10
50,-3.1559461802244186,-3.3553171157836914,1.9701052317031529,10
51,-3.5657477736473084,-2.9670478105545044,2.3847217179945686,10
52,-0.9658081727102399,-0.24182520061731339,1.108901113074913,10
53,-4.543066036701203,-4.280614256858826,2.9347847241897793,10
54,-3.393967016041279,-2.5925230979919434,2.503712314113564,10
55,-2.5232864994555713,-1.7878496646881104,2.59422823754415,10
56,-4.632251131534576,-4.6169140338897705,2.863343309194357,10
57,-2.488470022752881,-1.6517680883407593,2.1746801245231344,10
58,-1.8375005028326996,-0.7140242159366608,2.0653359221078214,10
59,-4.762741082906723,-4.1219013929367065,3.036126120685478,10
60,-5.321624058485031,-4.643419504165649,2.9279066584512834,10
61,-2.875747686624527,-1.6558551788330078,2.6515010112591875,10
62,-3.636666703224182,-2.4798946380615234,3.223425095692327,10
63,-1.7975579783320428,-1.2568508386611938,1.5351987780882175,10
64,-4.835183876752853,-3.9812538623809814,3.1533914089735275,10
65,-2.331423392705619,-0.8408752679824829,2.9499718096984915,10
66,-2.8814869105815886,-1.4803563356399536,2.227306446254313,10
67,-3.321266490407288,-1.9189316928386688,4.280766936932383,10
68,-5.244869458675384,-5.212817907333374,3.4453031160374405,10
69,-3.5740586161613463,-2.028009057044983,2.920972045181499,10
70,-5.506906938552857,-5.102051258087158,2.957608688755439,10
71,-3.6144051544368265,-3.832094430923462,2.5488886962801667,10
72,-2.549373912811279,-2.0597918033599854,1.9310903886420612,10
73,-2.6712132550776007,-2.1921041011810303,1.952392188641902,10
74,-3.416127885878086,-3.5433571338653564,2.3988061077222262,10
75,-2.818171501159668,-2.8922468423843384,1.7897857343147763,10
76,-3.6463643085677178,-3.833337903022766,2.862420177176005,10
77,-2.1657215604966042,-1.0216770470142365,2.3977293496253402,10
78,-2.318133128993213,-0.7912373244762421,3.2219468610278406,10
79,-6.14791122674942,-5.127861142158508,4.321968179898051,10
80,-2.746438765525818,-2.1093680262565613,2.4556506743185884,10
81,-2.722444169060327,-1.3520052433013916,2.9220508939988465,10
82,-3.3400356873404236,-2.123344659805298,3.6134671233118882,10
83,-3.1622124536545018,-2.2777994871139526,2.8367452681455845,10
84,-5.748534226417542,-5.60007381439209,3.3795905722311406,10
85,-4.163708772516111,-3.876731753349304,3.0874145877222383,10
86,-3.682428239285946,-2.737678647041321,3.5518270872741513,10
87,-2.528091685473919,-2.8805713653564453,1.8339865149838661,10
88,-2.279014171636663,-1.76531183719635,2.334645760380935,10
89,-3.8150756806135178,-1.9127629399299622,3.727235136303053,10
90,-3.3511572106159293,-1.977605164051056,3.5274070012959777,10
91,-4.430017705261707,-4.248539924621582,3.1863737770360037,10
92,-3.7406416654586794,-3.5736818313598633,1.6762169984488116,10
93,-3.4139750584959985,-2.770147055387497,3.1662592295215357,10
94,-2.5322767198085785,-1.7214775681495667,2.0241225673865006,10
95,-2.37186136841774,-1.995988368988037,1.9647659589060193,10
96,-4.691360601782799,-3.8793842792510986,2.98707810714648,10
97,-3.6003989458084105,-3.4582221508026123,2.5199628115468724,10
98,-2.921528422832489,-2.9075311422348022,2.268703643468299,10
99,-4.360965956747532,-4.322698593139648,2.5153888754372042,10
100,-3.8151150830090046,-3.028356432914734,3.176883299551397,10
101,-3.1404411155730485,-1.5840798616409302,3.189332280976602,10
102,-4.889029635488987,-3.3207696676254272,3.985528292856634,10
103,-3.9587505638599394,-2.4470667839050293,3.301425421635717,10
104,-3.4727470606565474,-3.396090865135193,2.1429401875697005,10
105,-4.568810322880745,-4.29920220375061,2.922432701005127,10
106,-3.2657995939254763,-2.112403154373169,2.7604659395637645,10
107,-4.375176483392716,-3.2429620027542114,3.744294266236169,10
108,-3.8631402112543585,-2.9687474966049194,3.5830332114621073,10
109,-3.288129651546478,-2.731134295463562,1.9194821083929687,10
110,-1.1325967932789354,-0.540589451789856,1.7198358671874596,10
111,-2.902267536416184,-2.12111634016037,2.819123051839234,10
112,-1.8152005427749827,-0.5353179574012756,2.0791077084590417,10
113,-3.3048778092488647,-2.8089882135391235,2.6824599460673926,10
114,-3.443569600582123,-2.5268079042434692,2.2528907699513705,10
115,-2.5882006168365477,-1.509932041168213,2.8581606581348433,10
116,-2.927794902771711,-3.2066174745559692,2.070819742703062,10
117,-2.3611626900732516,-2.0925377011299133,2.0259001734283117,10
118,-3.3411455282941462,-2.2750706672668457,2.8112822271443174,10
119,-4.4642828904092315,-4.2299065589904785,3.381251541651687,10
120,-3.1108605097979307,-2.24198317527771,2.647350461340574,10
121,-2.371855188347399,-1.4567971229553223,2.4045819405942686,10
122,-4.24900706410408,-3.82841420173645,2.6626969395457993,10
123,-2.9070775374770164,-2.2756422758102417,2.248846594162094,10
124,-5.0043866515159605,-3.4673056602478027,4.195359437881038,10
125,-2.0187490777112544,-1.5700456500053406,1.878657190513773,10
126,-3.9631388559937477,-4.324000597000122,2.4301460624817457,10
127,-2.27481545060873,-2.30526864528656,1.628434986817655,10
128,-2.6033141791820524,-2.1977508664131165,2.290054658037586,10
129,-2.7891303181648253,-2.1001163721084595,2.10514161217307,10
130,-2.9272834405303003,-2.4771448373794556,1.8789643213959908,10
131,-3.5503262568789067,-2.73103666305542,2.5183535906653898,10
132,-3.4416215694509447,-3.8671207427978516,2.286513328860955,10
133,-3.8875758640351705,-4.296635031700134,3.1345056902415127,10
134,-1.8537028655409813,-1.203914761543274,2.0116918428259725,10
135,-2.845677810534835,-2.1793540716171265,2.2821666399047196,10
136,-1.856307865958661,-1.3769450783729553,2.2309971731632317,10
137,-2.5733582576038314,-0.8823687434196472,3.3919416761282353,10
138,-4.106753087043762,-3.7131218910217285,2.6161766834603295,10
139,-2.598145531211048,-2.2013869285583496,2.4482910897649535,10
140,-3.615969794988632,-2.2107627391815186,3.562758463571008,10
141,-3.232742542028427,-1.9185256958007812,2.7819304536188483,10
142,-3.180223778728396,-1.3370224237442017,3.6388898409032935,10
143,-3.5433933675289153,-3.2591445446014404,2.4739900446818797,10
144,-2.9582855731248854,-2.633749842643738,1.6791510668090164,10
145,-2.764357578009367,-3.2458646297454834,1.7651174736504431,10
146,-1.9107509785098955,-1.5287109017372131,1.903492971585644,10
147,-4.464456094801426,-4.510704517364502,3.0848551017653496,10
148,-2.5041243851184847,-1.7657618522644043,2.175555494991853,10
149,-1.7274275779724122,-0.9330326914787292,1.829502217827683,10
150,-4.579606807231903,-3.917204737663269,3.38219688635629,10
151,-2.858274939539842,-0.9043799638748169,3.5313166369694917,10
152,-4.423259689798579,-4.73770546913147,3.423515417418865,10
153,-2.0980484619736672,-1.519217073917389,1.6447122861796928,10
154,-2.3736175701022146,-2.44261634349823,1.7132290446794263,10
155,-4.661636918783188,-4.64287257194519,2.3811347533739062,10
156,-3.501878854632378,-3.1821494102478027,2.1992583623932886,10
157,-4.259205588046461,-3.7525757551193237,2.875453883738529,10
158,-3.094572287797928,-3.151754140853882,1.498065672110541,10
159,-3.9013782304973574,-4.104066848754883,2.2440039304283452,10
160,-1.6473085556126534,-0.9963352084159851,1.675683505821456,10
161,-3.696843560785055,-3.019529700279236,3.5297659863398883,10
162,-3.3844719246029853,-2.51720929145813,2.654005612692902,10
163,-3.534746323525906,-1.9960812330245972,3.5245515099452387,10
164,-3.991942896816181,-2.3443065881729126,3.5022477981102473,10
165,-2.0099008053541185,-1.6297799944877625,1.4988593992296375,10
166,-3.3396784448996186,-3.3506306409835815,2.100486812414929,10
167,-3.0234035730361937,-2.3679327964782715,2.320132816333747,10
168,-1.872486649081111,-1.3976914882659912,1.6794621944157644,10
169,-3.1661371387541295,-2.264435648918152,3.5151697442566205,10
170,-3.406924399733543,-3.2623196840286255,2.0535850890783,10
171,-2.401342572271824,-1.9709579944610596,1.7595808075122035,10
172,-4.873553609848022,-4.639740824699402,2.8113742318706723,10
173,-5.6094848871231076,-4.9711151123046875,2.644062722594127,10
174,-4.117727195098996,-3.090020775794983,3.515617859457569,10
175,-2.0292895913124083,-1.8580325245857239,1.5026177017079445,10
176,-3.567331547662616,-4.09041166305542,2.767770438569384,10
177,-1.970632928609848,-1.5623909831047058,1.396826170729316,10
178,-2.1414444310590626,-0.8441443517804146,3.101302023326688,10
179,-4.090195589512587,-2.894725799560547,4.386979274534027,10
180,-2.631144775170833,-2.4847558736801147,1.9415414123524566,10
181,-2.4565783590078354,-1.202536791563034,2.862771676981571,10
182,-2.302600549161434,-1.4537575840950012,2.0595080790555147,10
183,-2.022854962432757,-0.8028691112995148,2.6553437916815836,10
184,-4.798120919475332,-3.5677486658096313,4.022993886885423,10
185,-4.188091117329895,-4.30544912815094,2.8446523206240415,10
186,-3.2255495961755516,-2.1432329416275024,3.42774043310701,10
187,-1.4968258187174797,-1.3006470203399658,1.3784330156452453,10
188,-4.325543012324488,-3.9939730167388916,2.725796781670965,10
189,-3.118342274427414,-2.9054973125457764,1.9235574696503657,10
190,-2.8840374118633916,-2.5925265550613403,2.5879940599573232,10
191,-3.4743443578481674,-2.7382142543792725,3.032187131691045,10
192,-2.240511755645275,-1.6763717532157898,1.745237803451234,10
193,-3.450435796380043,-2.6573586463928223,2.8801866671064786,10
194,-2.7030822833869026,-3.3034465312957764,1.8222288134600322,10
195,-2.949199642241001,-2.571087598800659,1.9586175959934609,10
196,-2.1243141860701145,-1.0478694140911102,2.5080827758138655,10
197,-3.168568992614746,-2.3381667137145996,2.3741714286120748,10
198,-2.0841908395290374,-1.5920141339302063,1.2717563361350601,10
199,-1.3092198356986047,-0.40646256506443024,1.6896783370780863,10
200,-4.374135554878739,-3.4130101203918457,3.6772547959569226,10
201,-2.7231361978454514,-1.2863645553588867,2.8900786261412144,10
202,-3.023120811395347,-1.9784781336784363,3.505075390723579,10
203,-2.196622521569952,-1.315193623304367,2.3439054372601533,10
204,-3.308375336229801,-3.6263840198516846,2.2141348395697165,10
205,-3.6755793511867525,-3.49810791015625,2.864364089598327,10
206,-1.3567264441400766,-0.7986277639865875,1.5463581254594978,10
207,-4.566836655139923,-4.471303224563599,2.7811504482652825,10
208,-2.384948664333206,-2.473899245262146,1.7186854529262245,10
209,-2.954374918807298,-3.404136061668396,1.8623931970101066,10
210,-2.2581094332039355,-1.9722555875778198,1.6477166382689772,10
211,-1.795972534181783,-1.5953782200813293,1.4744818449394856,10
212,-2.7117752434685825,-2.576222538948059,2.1820017250273036,10
213,-4.745874588564038,-3.2702014446258545,3.5696642162403465,10
214,-1.6525140941143035,-1.484903335571289,1.1869544221936184,10
215,-3.3301388576626776,-2.5487323999404907,2.128074196573452,10
216,-2.0008339837193487,-1.6358018517494202,1.5330391857459325,10
217,-2.358712218888104,-2.0163538455963135,1.817374091612551,10
218,-4.634807254374027,-2.861061930656433,4.567014928015478,10
219,-1.7789336681365966,-1.347574234008789,1.8221241144279579,10
220,-3.0206738021224737,-3.286054491996765,1.8689281910348858,10
221,-3.269259440898895,-3.476592183113098,2.224002819850007,10
222,-2.6555216521024705,-2.368829846382141,2.2086113725055943,10
223,-2.1556306735496036,-1.8704513311386108,2.146767607259945,10
224,-2.913966927205911,-3.6964629888534546,1.9614658535802603,10
225,-2.4360088646411895,-1.5713555812835693,2.521413327048214,10
226,-3.9059900879859923,-2.703152298927307,3.1489118797871387,10
227,-5.553586786985397,-5.0840537548065186,3.234670815212963,10
228,-2.6459989776369186,-2.4560275077819824,2.0297190153844076,10
229,-4.507380771636963,-4.208771705627441,2.7113095251578687,10
230,-3.0144556280225516,-2.618215560913086,2.3734802091746316,10
231,-4.883464062213898,-4.501181364059448,2.868002694880817,10
232,-3.548378524184227,-2.4548715949058533,3.581656260127443,10
233,-3.531939554028213,-3.1678487062454224,3.118979573536564,10
234,-2.0859864369034766,-1.9061024188995361,1.6522005301168439,10
235,-2.9371616575866937,-2.861514925956726,1.9887632102959902,10
236,-2.9756991297239437,-2.6477915048599243,2.4854470978162113,10
237,-2.3014299005270002,-1.064361035823822,2.3419858146517996,10
238,-3.4917981701437384,-2.440303683280945,3.503515220982793,10
239,-2.656509426236153,-1.8535032272338867,2.4612205120265775,10
240,-3.7522788047790527,-2.7279752492904663,3.321048269371109,10
241,-3.0762745606713,-2.4085490703582764,3.4625107761633807,10
242,-2.8883407003013417,-1.9343534111976624,2.5029279617514764,10
243,-3.366786783502903,-1.7421724200248718,3.574295044051009,10
244,-3.523569390922785,-2.870832920074463,2.950812300489032,10
245,-4.264298337697983,-3.9871474504470825,2.807465592054172,10
246,-4.666763937706127,-2.433048188686371,4.660816869044227,10
247,-2.4235644867643713,-1.3739828020334244,2.782216998109115,10
248,-2.0431004323065283,-1.4080137014389038,2.3754722743074135,10
249,-3.2662653654813765,-2.738040804862976,2.5887893787511778,10
250,-3.452657324820757,-4.311675071716309,2.5641155403736793,10
251,-4.369321453571319,-4.356832027435303,1.6708889939765843,10
252,-2.354480644944124,-2.3371787071228027,1.5423845457343235,10
253,-3.401454078219831,-1.2247077822685242,4.281538433313478,10
254,-2.092352016083896,-1.6876744627952576,2.1539971617545186,10
255,,,,0
