bin_start,bin_end,bin_mid,mean_log_prob,median_log_prob,std_log_prob,count
0,16,8.0,-3.9592905512203287,-3.199388861656189,3.1935833499487414,160
16,32,24.0,-3.192912525702559,-2.447102904319763,2.7267374807699203,160
32,48,40.0,-3.2202024430239136,-2.391714572906494,2.8709833575775603,160
48,64,56.0,-3.2875770308943175,-2.557435631752014,2.8620343032480067,160
64,80,72.0,-3.5651636011254597,-2.7925602197647095,3.1616662435833662,160
80,96,88.0,-3.3767445987239624,-2.5403244495391846,3.0375910491636224,160
96,112,104.0,-3.640391123653353,-2.9162288904190063,3.0481221840416652,160
112,128,120.0,-3.1341328072841863,-2.305715560913086,2.73605121372599,160
128,144,136.0,-3.0378454080881054,-2.23340380191803,2.731965597963214,160
144,160,152.0,-3.255055095996249,-2.6290645599365234,2.6203431491455444,160
160,176,168.0,-3.256577632990991,-2.6161123514175415,2.841142990311035,160
176,192,184.0,-3.043352353173668,-2.303639769554138,2.966427009891805,160
192,208,200.0,-2.8283785127469856,-1.9966108798980713,2.633846217981728,160
208,224,216.0,-2.731755064257959,-2.296480894088745,2.4401829913153015,160
224,240,232.0,-3.3368596816038916,-2.9145703315734863,2.8418458092783827,160
240,256,248.0,-3.2627672211849132,-2.372069835662842,3.1016913357044444,150
